method,input_size,input_channels,kernel,out_channels,stride,padding,out_h,out_w,warmup,iterations,mean_ms,std_ms,min_ms,gflops,workspace_mb,im2col_ms,gemm_ms,max_abs_error,checksum,sample0,sample1,sample2,sample3,algorithm,gpu
direct_cuda,256,3,3,16,3,1,86,86,8,80,0.005071,0.000617,0.004192,1260.184589,0.000000,0.000000,0.000000,0.000000,104.100550,-0.135109,0.260087,-0.163357,0.272784,-,NVIDIA GeForce RTX 5090
im2col_cublas,256,3,3,16,3,1,86,86,8,80,0.008434,0.000448,0.007584,757.700634,0.761765,0.003150,0.005284,0.000000,104.100545,-0.135109,0.260087,-0.163357,0.272784,-,NVIDIA GeForce RTX 5090
cudnn,256,3,3,16,3,1,86,86,8,80,0.012674,0.000325,0.011904,504.209066,0.000000,0.000000,0.000000,0.000000,104.100550,-0.135109,0.260087,-0.163357,0.272784,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,512,3,3,16,1,1,512,512,8,60,0.038063,0.000593,0.037024,5950.388582,0.000000,0.000000,0.000000,0.000000,186.580071,-0.028331,0.076204,0.230091,0.042072,-,NVIDIA GeForce RTX 5090
im2col_cublas,512,3,3,16,1,1,512,512,8,60,0.064588,0.000382,0.063872,3506.711473,27.000000,0.019505,0.045083,0.000296,186.673372,-0.028340,0.076206,0.230074,0.042082,-,NVIDIA GeForce RTX 5090
cudnn,512,3,3,16,1,1,512,512,8,60,0.035340,0.000569,0.034848,6409.001897,0.000000,0.000000,0.000000,0.000000,186.580071,-0.028331,0.076204,0.230091,0.042072,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,512,3,3,16,2,1,256,256,8,60,0.014375,0.000950,0.013312,3939.016829,0.000000,0.000000,0.000000,0.000000,46.140764,-0.028331,0.230091,0.113266,-0.018173,-,NVIDIA GeForce RTX 5090
im2col_cublas,512,3,3,16,2,1,256,256,8,60,0.019145,0.000958,0.017120,2957.664379,6.750000,0.007244,0.011900,0.000285,46.220123,-0.028340,0.230074,0.113286,-0.018133,-,NVIDIA GeForce RTX 5090
cudnn,512,3,3,16,2,1,256,256,8,60,0.018771,0.000267,0.017824,3016.573965,0.000000,0.000000,0.000000,0.000000,46.140764,-0.028331,0.230091,0.113266,-0.018173,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,512,3,3,16,3,1,171,171,8,60,0.011279,0.000983,0.009440,2239.842072,0.000000,0.000000,0.000000,0.000000,225.901081,-0.028331,0.042072,-0.018173,-0.066021,-,NVIDIA GeForce RTX 5090
im2col_cublas,512,3,3,16,3,1,171,171,8,60,0.012427,0.001056,0.010720,2033.065244,3.011730,0.005187,0.007240,0.000284,225.888795,-0.028340,0.042082,-0.018133,-0.066037,-,NVIDIA GeForce RTX 5090
cudnn,512,3,3,16,3,1,171,171,8,60,0.014979,0.001475,0.013728,1686.620378,0.000000,0.000000,0.000000,0.000000,225.901081,-0.028331,0.042072,-0.018173,-0.066021,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,1024,3,3,16,1,1,1024,1024,8,35,0.150637,0.000198,0.149984,6014.265155,0.000000,0.000000,0.000000,0.000000,856.287253,0.180195,-0.108260,-0.005533,-0.107989,-,NVIDIA GeForce RTX 5090
im2col_cublas,1024,3,3,16,1,1,1024,1024,8,35,0.240699,0.000573,0.239904,3763.904471,108.000000,0.074851,0.165849,0.000317,856.408500,0.180238,-0.108289,-0.005504,-0.107975,-,NVIDIA GeForce RTX 5090
cudnn,1024,3,3,16,1,1,1024,1024,8,35,0.105534,0.002120,0.102496,8584.609697,0.000000,0.000000,0.000000,0.000000,856.287253,0.180195,-0.108260,-0.005533,-0.107989,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,1024,3,3,16,2,1,512,512,8,35,0.047912,0.001062,0.046144,4727.236114,0.000000,0.000000,0.000000,0.000000,725.126727,0.180195,-0.005533,-0.070462,-0.022373,-,NVIDIA GeForce RTX 5090
im2col_cublas,1024,3,3,16,2,1,512,512,8,35,0.064622,0.000488,0.064192,3504.896452,27.000000,0.019536,0.045085,0.000305,725.345953,0.180238,-0.005504,-0.070439,-0.022374,-,NVIDIA GeForce RTX 5090
cudnn,1024,3,3,16,2,1,512,512,8,35,0.035737,0.000887,0.034816,6337.812598,0.000000,0.000000,0.000000,0.000000,725.126727,0.180195,-0.005533,-0.070462,-0.022373,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,1024,3,3,16,3,1,342,342,8,35,0.031722,0.000501,0.029888,3185.698032,0.000000,0.000000,0.000000,0.000000,223.751467,0.180195,-0.107989,-0.022373,0.147384,-,NVIDIA GeForce RTX 5090
im2col_cublas,1024,3,3,16,3,1,342,342,8,35,0.027323,0.000794,0.025664,3698.543762,12.046921,0.010945,0.016379,0.000295,223.726426,0.180238,-0.107975,-0.022374,0.147355,-,NVIDIA GeForce RTX 5090
cudnn,1024,3,3,16,3,1,342,342,8,35,0.024974,0.000402,0.024576,4046.530476,0.000000,0.000000,0.000000,0.000000,223.751467,0.180195,-0.107989,-0.022373,0.147384,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,2048,3,3,16,1,1,2048,2048,5,24,0.524223,0.000998,0.522752,6912.861333,0.000000,0.000000,0.000000,0.000000,-831.125407,0.133052,0.156324,0.201357,-0.221265,-,NVIDIA GeForce RTX 5090
im2col_cublas,2048,3,3,16,1,1,2048,2048,5,24,1.200739,0.002082,1.196960,3018.041091,432.000000,0.549981,0.650757,0.000365,-831.175397,0.133020,0.156352,0.201432,-0.221260,-,NVIDIA GeForce RTX 5090
cudnn,2048,3,3,16,1,1,2048,2048,5,24,0.388855,0.001243,0.385952,9319.365199,0.000000,0.000000,0.000000,0.000000,-831.125407,0.133052,0.156324,0.201357,-0.221265,IMPLICIT_PRECOMP_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,2048,3,3,16,2,1,1024,1024,5,24,0.185831,0.001156,0.185184,4875.243046,0.000000,0.000000,0.000000,0.000000,-392.488495,0.133052,0.201357,-0.251417,-0.010594,-,NVIDIA GeForce RTX 5090
im2col_cublas,2048,3,3,16,2,1,1024,1024,5,24,0.254117,0.001420,0.252608,3565.162815,108.000000,0.087016,0.167101,0.000321,-392.468241,0.133020,0.201432,-0.251423,-0.010621,-,NVIDIA GeForce RTX 5090
cudnn,2048,3,3,16,2,1,1024,1024,5,24,0.108693,0.001873,0.106464,8335.098747,0.000000,0.000000,0.000000,0.000000,-392.488495,0.133052,0.201357,-0.251417,-0.010594,IMPLICIT_PRECOMP_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,2048,3,3,16,3,1,683,683,5,24,0.114375,0.001202,0.112896,3523.914037,0.000000,0.000000,0.000000,0.000000,35.920524,0.133052,-0.221265,-0.010594,0.138603,-,NVIDIA GeForce RTX 5090
im2col_cublas,2048,3,3,16,3,1,683,683,5,24,0.131852,0.000317,0.131040,3056.809856,48.046886,0.056108,0.075744,0.000347,35.971848,0.133020,-0.221260,-0.010621,0.138528,-,NVIDIA GeForce RTX 5090
cudnn,2048,3,3,16,3,1,683,683,5,24,0.061453,0.001132,0.059520,6558.578216,0.000000,0.000000,0.000000,0.000000,35.920524,0.133052,-0.221265,-0.010594,0.138603,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,4096,3,3,16,1,1,4096,4096,3,12,1.982731,0.023304,1.968896,7310.884361,0.000000,0.000000,0.000000,0.000000,1700.711512,-0.008395,0.022182,-0.016145,0.138888,-,NVIDIA GeForce RTX 5090
im2col_cublas,4096,3,3,16,1,1,4096,4096,3,12,4.192352,0.006143,4.181696,3457.609166,1728.000000,1.605637,2.586715,0.000358,1699.732833,-0.008435,0.022215,-0.016165,0.138887,-,NVIDIA GeForce RTX 5090
cudnn,4096,3,3,16,1,1,4096,4096,3,12,1.520984,0.005867,1.509312,9530.353042,0.000000,0.000000,0.000000,0.000000,1700.711512,-0.008395,0.022182,-0.016145,0.138888,IMPLICIT_PRECOMP_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,4096,3,3,16,2,1,2048,2048,3,12,1.156771,0.004355,1.149920,3132.754626,0.000000,0.000000,0.000000,0.000000,456.057398,-0.008395,-0.016145,-0.086661,0.021561,-,NVIDIA GeForce RTX 5090
im2col_cublas,4096,3,3,16,2,1,2048,2048,3,12,1.443560,0.002018,1.440480,2510.376168,432.000000,0.793475,0.650085,0.000358,456.027793,-0.008435,-0.016165,-0.086692,0.021592,-,NVIDIA GeForce RTX 5090
cudnn,4096,3,3,16,2,1,2048,2048,3,12,0.392507,0.001055,0.391072,9232.654990,0.000000,0.000000,0.000000,0.000000,456.057398,-0.008395,-0.016145,-0.086661,0.021561,IMPLICIT_PRECOMP_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,4096,3,3,16,3,1,1366,1366,3,12,1.995888,0.003876,1.990432,807.753736,0.000000,0.000000,0.000000,0.000000,553.358424,-0.008395,0.138888,0.021561,0.137031,-,NVIDIA GeForce RTX 5090
im2col_cublas,4096,3,3,16,3,1,1366,1366,3,12,0.650056,0.002936,0.645824,2480.072482,192.187546,0.355981,0.294075,0.000358,553.339570,-0.008435,0.138887,0.021592,0.137018,-,NVIDIA GeForce RTX 5090
cudnn,4096,3,3,16,3,1,1366,1366,3,12,0.216128,0.000920,0.214912,7459.403557,0.000000,0.000000,0.000000,0.000000,553.358424,-0.008395,0.138888,0.021561,0.137031,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,256,3,3,64,1,1,256,256,8,80,0.037507,0.000937,0.035744,6038.638333,0.000000,0.000000,0.000000,0.000000,328.665492,0.093059,0.065266,-0.216777,0.180619,-,NVIDIA GeForce RTX 5090
im2col_cublas,256,3,3,64,1,1,256,256,8,80,0.021508,0.000466,0.018240,10530.612667,6.750000,0.007185,0.014323,0.000316,328.778693,0.093036,0.065242,-0.216795,0.180482,-,NVIDIA GeForce RTX 5090
cudnn,256,3,3,64,1,1,256,256,8,80,0.034042,0.001189,0.032384,6653.322913,0.000000,0.000000,0.000000,0.000000,328.665492,0.093059,0.065266,-0.216777,0.180619,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,256,3,3,64,2,1,128,128,8,80,0.013238,0.000480,0.012256,4277.315615,0.000000,0.000000,0.000000,0.000000,35.441725,0.093059,-0.216777,0.246616,-0.139305,-,NVIDIA GeForce RTX 5090
im2col_cublas,256,3,3,64,2,1,128,128,8,80,0.010040,0.000966,0.008928,5639.751408,1.687500,0.003310,0.006730,0.000293,35.495875,0.093036,-0.216795,0.246596,-0.139289,-,NVIDIA GeForce RTX 5090
cudnn,256,3,3,64,2,1,128,128,8,80,0.017818,0.001281,0.016416,3177.788402,0.000000,0.000000,0.000000,0.000000,35.441725,0.093059,-0.216777,0.246616,-0.139305,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,256,3,3,64,3,1,86,86,8,80,0.011080,0.001180,0.009344,2306.827914,0.000000,0.000000,0.000000,0.000000,43.199514,0.093059,0.180619,-0.139305,0.115837,-,NVIDIA GeForce RTX 5090
im2col_cublas,256,3,3,64,3,1,86,86,8,80,0.008821,0.000818,0.006624,2897.761675,0.761765,0.003325,0.005496,0.000298,43.165316,0.093036,0.180482,-0.139289,0.115840,-,NVIDIA GeForce RTX 5090
cudnn,256,3,3,64,3,1,86,86,8,80,0.014705,0.000382,0.014400,1738.199814,0.000000,0.000000,0.000000,0.000000,43.199514,0.093059,0.180619,-0.139305,0.115837,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,512,3,3,64,1,1,512,512,8,60,0.148654,0.000534,0.147520,6094.491009,0.000000,0.000000,0.000000,0.000000,456.175651,0.042018,-0.286555,0.142715,0.179368,-,NVIDIA GeForce RTX 5090
im2col_cublas,512,3,3,64,1,1,512,512,8,60,0.075363,0.000903,0.074624,12021.379800,27.000000,0.020030,0.055333,0.000319,455.775184,0.042032,-0.286612,0.142629,0.179370,-,NVIDIA GeForce RTX 5090
cudnn,512,3,3,64,1,1,512,512,8,60,0.097102,0.001226,0.095680,9330.095392,0.000000,0.000000,0.000000,0.000000,456.175651,0.042018,-0.286555,0.142715,0.179368,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,512,3,3,64,2,1,256,256,8,60,0.046538,0.000787,0.045248,4866.813539,0.000000,0.000000,0.000000,0.000000,-191.602267,0.042018,0.142715,-0.193316,0.202937,-,NVIDIA GeForce RTX 5090
im2col_cublas,512,3,3,64,2,1,256,256,8,60,0.021492,0.000510,0.018368,10538.583044,6.750000,0.007174,0.014318,0.000309,-191.648775,0.042032,0.142629,-0.193252,0.202974,-,NVIDIA GeForce RTX 5090
cudnn,512,3,3,64,2,1,256,256,8,60,0.036913,0.001303,0.027520,6135.833118,0.000000,0.000000,0.000000,0.000000,-191.602267,0.042018,0.142715,-0.193316,0.202937,IMPLICIT_PRECOMP_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,512,3,3,64,3,1,171,171,8,60,0.030570,0.000805,0.029696,3305.739451,0.000000,0.000000,0.000000,0.000000,109.869652,0.042018,0.179368,0.202937,-0.145089,-,NVIDIA GeForce RTX 5090
im2col_cublas,512,3,3,64,3,1,171,171,8,60,0.013335,0.000254,0.012640,7578.357810,3.011730,0.005116,0.008219,0.000293,109.780210,0.042032,0.179370,0.202974,-0.145032,-,NVIDIA GeForce RTX 5090
cudnn,512,3,3,64,3,1,171,171,8,60,0.024476,0.000812,0.022688,4128.860796,0.000000,0.000000,0.000000,0.000000,109.869652,0.042018,0.179368,0.202937,-0.145089,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,1024,3,3,64,1,1,1024,1024,8,35,0.525893,0.000977,0.524160,6890.910576,0.000000,0.000000,0.000000,0.000000,454.755384,0.285387,0.233116,0.176703,-0.282643,-,NVIDIA GeForce RTX 5090
