method,input_size,input_channels,kernel,out_channels,stride,padding,out_h,out_w,warmup,iterations,mean_ms,std_ms,min_ms,gflops,workspace_mb,im2col_ms,gemm_ms,max_abs_error,checksum,sample0,sample1,sample2,sample3,algorithm,gpu
cudnn,1024,3,3,16,3,1,342,342,8,35,0.024828,0.000334,0.023776,4070.223151,0.000000,0.000000,0.000000,0.000000,223.751467,0.180195,-0.107989,-0.022373,0.147384,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,2048,3,3,16,1,1,2048,2048,5,24,0.523687,0.000889,0.522528,6919.936829,0.000000,0.000000,0.000000,0.000000,-831.125407,0.133052,0.156324,0.201357,-0.221265,-,NVIDIA GeForce RTX 5090
im2col_cublas,2048,3,3,16,1,1,2048,2048,5,24,1.210332,0.002979,1.200416,2994.119545,432.000000,0.550293,0.651287,0.000365,-831.175397,0.133020,0.156352,0.201432,-0.221260,-,NVIDIA GeForce RTX 5090
cudnn,2048,3,3,16,1,1,2048,2048,5,24,0.388544,0.001914,0.385856,9326.816623,0.000000,0.000000,0.000000,0.000000,-831.125407,0.133052,0.156324,0.201357,-0.221265,IMPLICIT_PRECOMP_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,2048,3,3,16,2,1,1024,1024,5,24,0.186076,0.001001,0.185024,4868.815244,0.000000,0.000000,0.000000,0.000000,-392.488495,0.133052,0.201357,-0.251417,-0.010594,-,NVIDIA GeForce RTX 5090
im2col_cublas,2048,3,3,16,2,1,1024,1024,5,24,0.264313,0.000854,0.262560,3427.635112,108.000000,0.088056,0.166644,0.000321,-392.468241,0.133020,0.201432,-0.251423,-0.010621,-,NVIDIA GeForce RTX 5090
cudnn,2048,3,3,16,2,1,1024,1024,5,24,0.106639,0.001766,0.104352,8495.695828,0.000000,0.000000,0.000000,0.000000,-392.488495,0.133052,0.201357,-0.251417,-0.010594,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,2048,3,3,16,3,1,683,683,5,24,0.113915,0.001174,0.111744,3538.143975,0.000000,0.000000,0.000000,0.000000,35.920524,0.133052,-0.221265,-0.010594,0.138603,-,NVIDIA GeForce RTX 5090
im2col_cublas,2048,3,3,16,3,1,683,683,5,24,0.139111,0.000917,0.137472,2897.308329,48.046886,0.056471,0.073233,0.000347,35.971848,0.133020,-0.221260,-0.010621,0.138528,-,NVIDIA GeForce RTX 5090
cudnn,2048,3,3,16,3,1,683,683,5,24,0.061537,0.001267,0.059584,6549.625624,0.000000,0.000000,0.000000,0.000000,35.920524,0.133052,-0.221265,-0.010594,0.138603,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,4096,3,3,16,1,1,4096,4096,3,12,1.973555,0.006063,1.970656,7344.876183,0.000000,0.000000,0.000000,0.000000,1700.711512,-0.008395,0.022182,-0.016145,0.138888,-,NVIDIA GeForce RTX 5090
im2col_cublas,4096,3,3,16,1,1,4096,4096,3,12,4.206888,0.003917,4.200832,3445.662120,1728.000000,1.605944,2.592072,0.000358,1699.732833,-0.008435,0.022215,-0.016165,0.138887,-,NVIDIA GeForce RTX 5090
cudnn,4096,3,3,16,1,1,4096,4096,3,12,1.511469,0.005010,1.504352,9590.346552,0.000000,0.000000,0.000000,0.000000,1700.711512,-0.008395,0.022182,-0.016145,0.138888,IMPLICIT_PRECOMP_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,4096,3,3,16,2,1,2048,2048,3,12,1.153821,0.001482,1.151424,3140.762353,0.000000,0.000000,0.000000,0.000000,456.057398,-0.008395,-0.016145,-0.086661,0.021561,-,NVIDIA GeForce RTX 5090
im2col_cublas,4096,3,3,16,2,1,2048,2048,3,12,1.453741,0.001789,1.450656,2492.794678,432.000000,0.794091,0.650843,0.000358,456.027793,-0.008435,-0.016165,-0.086692,0.021592,-,NVIDIA GeForce RTX 5090
cudnn,4096,3,3,16,2,1,2048,2048,3,12,0.393741,0.001427,0.391200,9203.703901,0.000000,0.000000,0.000000,0.000000,456.057398,-0.008395,-0.016145,-0.086661,0.021561,IMPLICIT_PRECOMP_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,4096,3,3,16,3,1,1366,1366,3,12,1.994747,0.005352,1.987296,808.215906,0.000000,0.000000,0.000000,0.000000,553.358424,-0.008395,0.138888,0.021561,0.137031,-,NVIDIA GeForce RTX 5090
im2col_cublas,4096,3,3,16,3,1,1366,1366,3,12,0.658888,0.002610,0.654848,2446.828600,192.187546,0.355549,0.294568,0.000358,553.339570,-0.008435,0.138887,0.021592,0.137018,-,NVIDIA GeForce RTX 5090
cudnn,4096,3,3,16,3,1,1366,1366,3,12,0.216797,0.001574,0.214784,7436.373601,0.000000,0.000000,0.000000,0.000000,553.358424,-0.008395,0.138888,0.021561,0.137031,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,256,3,3,64,1,1,256,256,8,80,0.037190,0.001728,0.035776,6090.142970,0.000000,0.000000,0.000000,0.000000,328.665492,0.093059,0.065266,-0.216777,0.180619,-,NVIDIA GeForce RTX 5090
im2col_cublas,256,3,3,64,1,1,256,256,8,80,0.030578,0.000524,0.029376,7406.941368,6.750000,0.007808,0.014770,0.000316,328.778693,0.093036,0.065242,-0.216795,0.180482,-,NVIDIA GeForce RTX 5090
cudnn,256,3,3,64,1,1,256,256,8,80,0.033934,0.001244,0.032384,6674.419415,0.000000,0.000000,0.000000,0.000000,328.665492,0.093059,0.065266,-0.216777,0.180619,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,256,3,3,64,2,1,128,128,8,80,0.013339,0.000340,0.012384,4244.992358,0.000000,0.000000,0.000000,0.000000,35.441725,0.093059,-0.216777,0.246616,-0.139305,-,NVIDIA GeForce RTX 5090
im2col_cublas,256,3,3,64,2,1,128,128,8,80,0.019290,0.001554,0.017792,2935.421376,1.687500,0.004586,0.006643,0.000293,35.495875,0.093036,-0.216795,0.246596,-0.139289,-,NVIDIA GeForce RTX 5090
cudnn,256,3,3,64,2,1,128,128,8,80,0.017256,0.001757,0.015808,3281.281404,0.000000,0.000000,0.000000,0.000000,35.441725,0.093059,-0.216777,0.246616,-0.139305,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,256,3,3,64,3,1,86,86,8,80,0.010962,0.000661,0.009408,2331.658768,0.000000,0.000000,0.000000,0.000000,43.199514,0.093059,0.180619,-0.139305,0.115837,-,NVIDIA GeForce RTX 5090
im2col_cublas,256,3,3,64,3,1,86,86,8,80,0.018461,0.001907,0.016800,1384.586588,0.761765,0.003825,0.006642,0.000298,43.165316,0.093036,0.180482,-0.139289,0.115840,-,NVIDIA GeForce RTX 5090
cudnn,256,3,3,64,3,1,86,86,8,80,0.016645,0.000675,0.015488,1535.612452,0.000000,0.000000,0.000000,0.000000,43.199514,0.093059,0.180619,-0.139305,0.115837,IMPLICIT_PRECOMP_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,512,3,3,64,1,1,512,512,8,60,0.148792,0.000997,0.148256,6088.833108,0.000000,0.000000,0.000000,0.000000,456.175651,0.042018,-0.286555,0.142715,0.179368,-,NVIDIA GeForce RTX 5090
im2col_cublas,512,3,3,64,1,1,512,512,8,60,0.085297,0.000856,0.084256,10621.345880,27.000000,0.021534,0.055796,0.000319,455.775184,0.042032,-0.286612,0.142629,0.179370,-,NVIDIA GeForce RTX 5090
cudnn,512,3,3,64,1,1,512,512,8,60,0.097311,0.001335,0.095584,9310.050187,0.000000,0.000000,0.000000,0.000000,456.175651,0.042018,-0.286555,0.142715,0.179368,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,512,3,3,64,2,1,256,256,8,60,0.046499,0.000716,0.045632,4870.944316,0.000000,0.000000,0.000000,0.000000,-191.602267,0.042018,0.142715,-0.193316,0.202937,-,NVIDIA GeForce RTX 5090
im2col_cublas,512,3,3,64,2,1,256,256,8,60,0.030858,0.000544,0.030080,7339.796388,6.750000,0.008071,0.014701,0.000309,-191.648775,0.042032,0.142629,-0.193252,0.202974,-,NVIDIA GeForce RTX 5090
cudnn,512,3,3,64,2,1,256,256,8,60,0.034887,0.000618,0.032928,6492.184797,0.000000,0.000000,0.000000,0.000000,-191.602267,0.042018,0.142715,-0.193316,0.202937,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,512,3,3,64,3,1,171,171,8,60,0.030683,0.000937,0.029568,3293.615151,0.000000,0.000000,0.000000,0.000000,109.869652,0.042018,0.179368,0.202937,-0.145089,-,NVIDIA GeForce RTX 5090
im2col_cublas,512,3,3,64,3,1,171,171,8,60,0.022789,0.001119,0.020960,4434.394572,3.011730,0.005927,0.008806,0.000293,109.780210,0.042032,0.179370,0.202974,-0.145032,-,NVIDIA GeForce RTX 5090
