impl,schedule,M,N,K,threads,time_sec,gflops,checksum,max_error
openmp,dynamic1,512,512,512,26,0.002255,119.052,3.3554434859e+07,-1.000e+00
openmp,dynamic1,512,512,512,27,0.002214,121.268,3.3554434859e+07,-1.000e+00
openmp,dynamic1,512,512,512,28,0.002292,117.142,3.3554434859e+07,-1.000e+00
openmp,dynamic1,512,512,512,29,0.002157,124.433,3.3554434859e+07,-1.000e+00
openmp,dynamic1,512,512,512,30,0.002197,122.198,3.3554434859e+07,-1.000e+00
openmp,dynamic1,512,512,512,31,0.005012,53.562,3.3554434859e+07,-1.000e+00
openmp,dynamic1,512,512,512,32,0.005607,47.879,3.3554434859e+07,-1.000e+00
openmp,default,1024,1024,1024,1,0.380739,5.640,2.6843577513e+08,-1.000e+00
openmp,default,1024,1024,1024,2,0.193436,11.102,2.6843577513e+08,-1.000e+00
openmp,default,1024,1024,1024,3,0.127371,16.860,2.6843577513e+08,-1.000e+00
openmp,default,1024,1024,1024,4,0.095545,22.476,2.6843577513e+08,-1.000e+00
openmp,default,1024,1024,1024,5,0.077588,27.678,2.6843577513e+08,-1.000e+00
openmp,default,1024,1024,1024,6,0.064197,33.451,2.6843577513e+08,-1.000e+00
openmp,default,1024,1024,1024,7,0.055797,38.488,2.6843577513e+08,-1.000e+00
openmp,default,1024,1024,1024,8,0.048888,43.927,2.6843577513e+08,-1.000e+00
openmp,default,1024,1024,1024,9,0.043265,49.635,2.6843577513e+08,-1.000e+00
openmp,default,1024,1024,1024,10,0.039153,54.849,2.6843577513e+08,-1.000e+00
openmp,default,1024,1024,1024,11,0.036127,59.443,2.6843577513e+08,-1.000e+00
openmp,default,1024,1024,1024,12,0.033097,64.884,2.6843577513e+08,-1.000e+00
openmp,default,1024,1024,1024,13,0.030422,70.589,2.6843577513e+08,-1.000e+00
openmp,default,1024,1024,1024,14,0.028541,75.241,2.6843577513e+08,-1.000e+00
openmp,default,1024,1024,1024,15,0.026609,80.704,2.6843577513e+08,-1.000e+00
openmp,default,1024,1024,1024,16,0.024797,86.602,2.6843577513e+08,-1.000e+00
openmp,default,1024,1024,1024,17,0.025255,85.034,2.6843577513e+08,-1.000e+00
openmp,default,1024,1024,1024,18,0.023821,90.152,2.6843577513e+08,-1.000e+00
openmp,default,1024,1024,1024,19,0.025413,84.504,2.6843577513e+08,-1.000e+00
openmp,default,1024,1024,1024,20,0.021996,97.630,2.6843577513e+08,-1.000e+00
openmp,default,1024,1024,1024,21,0.020602,104.235,2.6843577513e+08,-1.000e+00
openmp,default,1024,1024,1024,22,0.021455,100.092,2.6843577513e+08,-1.000e+00
openmp,default,1024,1024,1024,23,0.019198,111.861,2.6843577513e+08,-1.000e+00
openmp,default,1024,1024,1024,24,0.020570,104.400,2.6843577513e+08,-1.000e+00
openmp,default,1024,1024,1024,25,0.019683,109.104,2.6843577513e+08,-1.000e+00
openmp,default,1024,1024,1024,26,0.020218,106.214,2.6843577513e+08,-1.000e+00
openmp,default,1024,1024,1024,27,0.019614,109.487,2.6843577513e+08,-1.000e+00
openmp,default,1024,1024,1024,28,0.020078,106.958,2.6843577513e+08,-1.000e+00
openmp,default,1024,1024,1024,29,0.018244,117.708,2.6843577513e+08,-1.000e+00
openmp,default,1024,1024,1024,30,0.020675,103.868,2.6843577513e+08,-1.000e+00
openmp,default,1024,1024,1024,31,0.019595,109.593,2.6843577513e+08,-1.000e+00
openmp,default,1024,1024,1024,32,0.019421,110.577,2.6843577513e+08,-1.000e+00
openmp,static1,1024,1024,1024,1,0.380169,5.649,2.6843577513e+08,-1.000e+00
openmp,static1,1024,1024,1024,2,0.194956,11.015,2.6843577513e+08,-1.000e+00
openmp,static1,1024,1024,1024,3,0.130066,16.511,2.6843577513e+08,-1.000e+00
openmp,static1,1024,1024,1024,4,0.099532,21.576,2.6843577513e+08,-1.000e+00
openmp,static1,1024,1024,1024,5,0.078239,27.448,2.6843577513e+08,-1.000e+00
openmp,static1,1024,1024,1024,6,0.065104,32.985,2.6843577513e+08,-1.000e+00
openmp,static1,1024,1024,1024,7,0.056665,37.898,2.6843577513e+08,-1.000e+00
openmp,static1,1024,1024,1024,8,0.048826,43.982,2.6843577513e+08,-1.000e+00
openmp,static1,1024,1024,1024,9,0.043668,49.178,2.6843577513e+08,-1.000e+00
openmp,static1,1024,1024,1024,10,0.039780,53.984,2.6843577513e+08,-1.000e+00
openmp,static1,1024,1024,1024,11,0.039018,55.038,2.6843577513e+08,-1.000e+00
openmp,static1,1024,1024,1024,12,0.033206,64.672,2.6843577513e+08,-1.000e+00
openmp,static1,1024,1024,1024,13,0.030703,69.945,2.6843577513e+08,-1.000e+00
openmp,static1,1024,1024,1024,14,0.031026,69.216,2.6843577513e+08,-1.000e+00
openmp,static1,1024,1024,1024,15,0.027160,79.066,2.6843577513e+08,-1.000e+00
openmp,static1,1024,1024,1024,16,0.027405,78.361,2.6843577513e+08,-1.000e+00
openmp,static1,1024,1024,1024,17,0.025752,83.392,2.6843577513e+08,-1.000e+00
openmp,static1,1024,1024,1024,18,0.024771,86.693,2.6843577513e+08,-1.000e+00
openmp,static1,1024,1024,1024,19,0.025116,85.504,2.6843577513e+08,-1.000e+00
openmp,static1,1024,1024,1024,20,0.022231,96.600,2.6843577513e+08,-1.000e+00
openmp,static1,1024,1024,1024,21,0.022925,93.675,2.6843577513e+08,-1.000e+00
openmp,static1,1024,1024,1024,22,0.022363,96.029,2.6843577513e+08,-1.000e+00
openmp,static1,1024,1024,1024,23,0.022099,97.176,2.6843577513e+08,-1.000e+00
openmp,static1,1024,1024,1024,24,0.022713,94.548,2.6843577513e+08,-1.000e+00
openmp,static1,1024,1024,1024,25,0.021467,100.035,2.6843577513e+08,-1.000e+00
openmp,static1,1024,1024,1024,26,0.021537,99.709,2.6843577513e+08,-1.000e+00
openmp,static1,1024,1024,1024,27,0.022288,96.354,2.6843577513e+08,-1.000e+00
openmp,static1,1024,1024,1024,28,0.025263,85.004,2.6843577513e+08,-1.000e+00
openmp,static1,1024,1024,1024,29,0.021418,100.263,2.6843577513e+08,-1.000e+00
openmp,static1,1024,1024,1024,30,0.021352,100.576,2.6843577513e+08,-1.000e+00
openmp,static1,1024,1024,1024,31,0.021033,102.100,2.6843577513e+08,-1.000e+00
openmp,static1,1024,1024,1024,32,0.026025,82.517,2.6843577513e+08,-1.000e+00
openmp,dynamic1,1024,1024,1024,1,0.383849,5.595,2.6843577513e+08,-1.000e+00
openmp,dynamic1,1024,1024,1024,2,0.191575,11.210,2.6843577513e+08,-1.000e+00
openmp,dynamic1,1024,1024,1024,3,0.127804,16.803,2.6843577513e+08,-1.000e+00
openmp,dynamic1,1024,1024,1024,4,0.095689,22.442,2.6843577513e+08,-1.000e+00
openmp,dynamic1,1024,1024,1024,5,0.076789,27.966,2.6843577513e+08,-1.000e+00
openmp,dynamic1,1024,1024,1024,6,0.064647,33.219,2.6843577513e+08,-1.000e+00
openmp,dynamic1,1024,1024,1024,7,0.055486,38.703,2.6843577513e+08,-1.000e+00
openmp,dynamic1,1024,1024,1024,8,0.048397,44.372,2.6843577513e+08,-1.000e+00
openmp,dynamic1,1024,1024,1024,9,0.043868,48.953,2.6843577513e+08,-1.000e+00
openmp,dynamic1,1024,1024,1024,10,0.039294,54.652,2.6843577513e+08,-1.000e+00
openmp,dynamic1,1024,1024,1024,11,0.035903,59.813,2.6843577513e+08,-1.000e+00
openmp,dynamic1,1024,1024,1024,12,0.032834,65.404,2.6843577513e+08,-1.000e+00
openmp,dynamic1,1024,1024,1024,13,0.030370,70.710,2.6843577513e+08,-1.000e+00
openmp,dynamic1,1024,1024,1024,14,0.028417,75.569,2.6843577513e+08,-1.000e+00
openmp,dynamic1,1024,1024,1024,15,0.027201,78.948,2.6843577513e+08,-1.000e+00
openmp,dynamic1,1024,1024,1024,16,0.025264,85.001,2.6843577513e+08,-1.000e+00
openmp,dynamic1,1024,1024,1024,17,0.024363,88.144,2.6843577513e+08,-1.000e+00
openmp,dynamic1,1024,1024,1024,18,0.023029,93.253,2.6843577513e+08,-1.000e+00
openmp,dynamic1,1024,1024,1024,19,0.022408,95.837,2.6843577513e+08,-1.000e+00
openmp,dynamic1,1024,1024,1024,20,0.021556,99.623,2.6843577513e+08,-1.000e+00
openmp,dynamic1,1024,1024,1024,21,0.020540,104.550,2.6843577513e+08,-1.000e+00
openmp,dynamic1,1024,1024,1024,22,0.020146,106.595,2.6843577513e+08,-1.000e+00
openmp,dynamic1,1024,1024,1024,23,0.019238,111.628,2.6843577513e+08,-1.000e+00
openmp,dynamic1,1024,1024,1024,24,0.018788,114.299,2.6843577513e+08,-1.000e+00
openmp,dynamic1,1024,1024,1024,25,0.017708,121.269,2.6843577513e+08,-1.000e+00
openmp,dynamic1,1024,1024,1024,26,0.017454,123.039,2.6843577513e+08,-1.000e+00
openmp,dynamic1,1024,1024,1024,27,0.017304,124.106,2.6843577513e+08,-1.000e+00
openmp,dynamic1,1024,1024,1024,28,0.016722,128.421,2.6843577513e+08,-1.000e+00
openmp,dynamic1,1024,1024,1024,29,0.017202,124.840,2.6843577513e+08,-1.000e+00
openmp,dynamic1,1024,1024,1024,30,0.016034,133.937,2.6843577513e+08,-1.000e+00
openmp,dynamic1,1024,1024,1024,31,0.015640,137.307,2.6843577513e+08,-1.000e+00
openmp,dynamic1,1024,1024,1024,32,0.017754,120.960,2.6843577513e+08,-1.000e+00
openmp,default,1536,1536,1536,1,1.305469,5.552,9.0596836276e+08,-1.000e+00
openmp,default,1536,1536,1536,2,0.660029,10.981,9.0596836276e+08,-1.000e+00
openmp,default,1536,1536,1536,3,0.450352,16.094,9.0596836276e+08,-1.000e+00
openmp,default,1536,1536,1536,4,0.329780,21.978,9.0596836276e+08,-1.000e+00
openmp,default,1536,1536,1536,5,0.273849,26.466,9.0596836276e+08,-1.000e+00
openmp,default,1536,1536,1536,6,0.237146,30.562,9.0596836276e+08,-1.000e+00
openmp,default,1536,1536,1536,7,0.193388,37.478,9.0596836276e+08,-1.000e+00
openmp,default,1536,1536,1536,8,0.168650,42.975,9.0596836276e+08,-1.000e+00
openmp,default,1536,1536,1536,9,0.153631,47.176,9.0596836276e+08,-1.000e+00
openmp,default,1536,1536,1536,10,0.139514,51.950,9.0596836276e+08,-1.000e+00
openmp,default,1536,1536,1536,11,0.123773,58.557,9.0596836276e+08,-1.000e+00
openmp,default,1536,1536,1536,12,0.116636,62.140,9.0596836276e+08,-1.000e+00
openmp,default,1536,1536,1536,13,0.105238,68.870,9.0596836276e+08,-1.000e+00
openmp,default,1536,1536,1536,14,0.097224,74.547,9.0596836276e+08,-1.000e+00
openmp,default,1536,1536,1536,15,0.091728,79.014,9.0596836276e+08,-1.000e+00
openmp,default,1536,1536,1536,16,0.086103,84.176,9.0596836276e+08,-1.000e+00
openmp,default,1536,1536,1536,17,0.086663,83.632,9.0596836276e+08,-1.000e+00
openmp,default,1536,1536,1536,18,0.082779,87.556,9.0596836276e+08,-1.000e+00
